,SUBSYSTEM MASTER BILL OF MATERIALS (BOM),,,,,,
,*NOTE THIS IS A PRELIMINARY BID BOM - NOT TO BE USED FOR PRODUCTION,,,,,,
ENGINEERING,,,,,,,
MRP Level,Description,Manufacturer,OEM Part #,RLC Part #,Quantity,"Need Quote 
""X""",Engineering Notes
,Access Points,,,,,,
1,IW9167 B Domain Wi-Fi Access Point,Cisco,IW9167EH-B-AP B-Domain,N/A,1,,Wi-Fi 6E outdoor AP
1,IW9165 CURB Access Point,Cisco,IW9165E-B-URWB,N/A,4,,Industrial Wi-Fi/LTE access point
,Access Point Mounts,,,,,,
2,IR1101 Wall Mount Kit,Cisco,IR1101-WALLMNT,N/A,4,,Wall mounting bracket
2,IW9165 Mounting Board,RLC Custom,N/A,12-10241,1,,9 × 10 in mounting plate
,Antennas,,,,,,
2,Wi-Fi Omnidirectional Antenna,Cisco,AIR-ANT2524V4C-R,N/A,1,,2.4/5 GHz
2,7-in-1 Outdoor LTE/Wi-Fi Antenna,Cisco,ANT-7-5G4WL2G1-O,N/A,1,,LTE/5G antenna
2,5 GHz 9 dBi Panel Antenna,Cisco,IW-ANT-PNL-59-N=,N/A,1,,Directional panel antenna
,Cabling,,,,,,
3,M12-M12 Ethernet Cable (10 ft),Cisco,CAB-ETHM12-M12-10,N/A,1,,Industrial Ethernet
3,M12 Power Adapter,Cisco,IW-ACC-M12PWR=,N/A,1,,4-pin Micro-Fit to M12
3,M12 DC Power Cable,Cisco,CAB-PWR-M12-10,N/A,4,,10 ft
3,RJ45 to M12 Adapter,Cisco,IW-ACC-M12ETH=,N/A,3,,Gigabit Ethernet
3,M12 Spacer Kit,Cisco,IW-ACC-M12SPCR1=,N/A,1,,SFP spacer
3,LMR-400 RF Cable,Cisco,CAB-L400-20-N-R,N/A,1,,20 ft
3,LMR-240 RF Cable,Cisco,CAB-L240-20-SM-SF,N/A,1,,LTE antenna cable
3,LMR-240 RF Cable,Cisco,CAB-L240-6-RSM-NM,N/A,1,,Panel antenna cable
,General Network,,,,,,
4,EKI-9508G-MPW Ethernet Switch,Advantech,EKI-9508G-MPW-B,N/A,3,,Industrial managed switch
4,SmartRack Vertical Mount,Tripp Lite,SRVM2U,N/A,1,,Rack mount
4,RJ45 Modular Plug,NAC,RJ-45,N/A,1,,8P8C connectors
,Grounding,,,,,,
4,Ground Bar,CPI,10610-019,N/A,1,,Rack grounding bar
4,Compression Lug,Approved Vendor,24C319,N/A,1,,6 AWG lug
4,Ground Jumper Kit,Panduit,21WJ56,N/A,1,,6 AWG jumper
4,24 VDC Surge Protector,Phoenix Contact,2800976,N/A,1,,DIN rail surge protection
4,Ethernet Surge Protector,Phoenix Contact,2313931,N/A,15-20,,Gigabit Ethernet surge protection
,Antenna Mounting,,,,,,
4,Panel Mounting Plate,RLC Custom,12-10237,N/A,1,,12 × 12 in
4,1/4-20 Mounting Bolt,McMaster,94302A186,N/A,1,,Stainless
4,1/4-20 Serrated Nut,McMaster,91343A100,N/A,1,,Stainless
4,KVT-ER 25 Cable Gland,Icotek,45450,N/A,2,,Split cable gland
4,KT 6 Cable Grommet,Icotek,41206,N/A,1,,6 mm
,Rack Accessories,,,,,,
5,WMPF1E Horizontal Cable Manager,Panduit,WMPF1E-KIT,N/A,1,,1U
5,BR1B Brush Panel,Panduit,BR1B,N/A,2,,1U brush strip
5,Horizontal Cable Organizer,APC,AR8425A,N/A,1,,1U organizer
5,SanDisk 256 GB microSDXC,SanDisk,SDSQXAV-256G-GN6MA,N/A,1,,Industrial storage
,LTE Components,,,,,,
5,Nano SIM Card,Carrier,N/A,N/A,8,,LTE service
5,LTE/5G Data Plan,Carrier,N/A,N/A,1,,One per IW9165
5,SMA Dust Caps,Amphenol RF,202112-10,N/A,1,,RF connector protection
5,Self-Fusing Tape,3M,Scotch 2228,N/A,4,,Weatherproofing
5,Adhesive Heat Shrink,TE Connectivity,NB11652001,N/A,1,,Environmental sealing
5,UV Cable Ties,Panduit,PLT3S-C0,N/A,1,,Outdoor rated
5,Stainless Cable Clamps,Panduit,CCSSQD2226-X,N/A,10,,Cable support
,Installation,,,,,,
6,M6 Bolt,McMaster,90386A106,N/A,1,,Serrated flange
6,M6 Nylon Lock Nut,McMaster,96194A101,N/A,4,,M6
6,8-32 Flanged Screw,McMaster,90316A199,N/A,6,,Stainless
6,8-32 Serrated Flange Nut,McMaster,93776A381,N/A,4,,Stainless
,Tools,,,,,,
6,TOOL HAND CRIMPER TOP ENTRY,Harting,9990000501,N/A,1,,M12 crimper tool
6,D-sub Crimp Tool Locator For M12 A-code Female 8pin Contacts,Harting,9990000637,N/A,1,,M12 connector precision tool
6,D-sub Crimp Tool Locator For M12 X-code Female Contacts,Harting,9990000635,N/A,1,,M12 connector precision tool
6,D-SUB CRIMP TOOL LOCATOR FOR M12,Harting,9990000618,N/A,1,,M12 connector precision tool
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
