,SUBSYSTEM MASTER BILL OF MATERIALS (BOM),,,,,,
,*NOTE THIS IS A PRELIMINARY BID BOM - NOT TO BE USED FOR PRODUCTION,,,,,,
ENGINEERING,,,,,,,
MRP Level,Description,Manufacturer,OEM Part #,RLC Part #,Quantity,"Need Quote 
""X""",Engineering Notes
,Security Set 1,,,,,,
1,Room Alert 3E Monitor,AVTECH,RA3E-ES0-BAS,N/A,1,,"Ethernet environmental monitor, remote monitoring."
2,APC Smart-UPS,APC,SMT2200RM2UC,N/A,1,,"Line-interactive UPS, LCD display"
2,FastEthernetPoE+module,MOXA,IM-6700A-8PoE,N/A,4,,"Fast Ethernet interface module, 10/100 Mbps ports"
2,UPS Network Management Card 3 with Environmental Monitoring,APC,AP9641,N/A,1,,"Remote UPS monitoring via SNMP/HTTPS, IPv4/IPv6"
3,24+4G-port Gigabit modular managed PoE+ Ethernet switch,MOXA,IKS-6728A-8PoE-4GTXSFP-HV-T,N/A,2,,"24 Gigabit PoE+ ports, 4 Gigabit/SFP uplinks"
3,48-Port 2U Patch Panel,Tripp Lite,N252-048,N/A,1,,"48 RJ45 ports, 2U rack mount, Cat5e/Cat6 rated"
3,Data Surge Protector,Transtector,DPR-F140,N/A,20,,"Ethernet surge protection, RJ45 interfaces"
3,ExtremeSwitching™ X460-G2 Series Switch,Extreme Networks,X460-G2-48P-10GE-4-BASE,N/A,1,,Layer 3 managed switch
4,3.8kW Single-Phase Local Metered PDU,Tripp Lite,PDUMV40,N/A,3,,"120/208/230 VAC single phase, 3.8 kW capacity"
4,Cat5e TRD877HF Ethernet Cable,L-Com,TRD877HF-5,N/A,25-49,,"24 AWG stranded conductors, 100 MHz bandwidth"
4,Data Surge Protector Rack Mount Chassis,Transtector,1000-1206,N/A,4,,19-inch rack mount
4,EKI-9508G-MPW Ethernet Switch,AVTECH,EKI-9508G-MPW-B,N/A,3,,"8-port managed Gigabit industrial Ethernet switch, DIN rail mount"
4,SFP+ transceiver module - 10 GigE,Extreme Networks,10302,N/A,5,,"10 Gbps Ethernet, 850 nm (SR) or 1310 nm (LR)"
5,FIBER CASSETTE,Corning,CCH-CS12-AE-P00RE,N/A,1,,MPO/MTP to LC breakout
5,LC TO LC SINGLE MODE FIBER PATCH CABLE,FS,40192,N/A,15,,OS2 9/125 µm fiber
5,ST TO LC SINGLE MODE FIBER PATCH CABLE,Proline,PRO-ST-LC-6M9SMF,N/A,1,,"OS2 single-mode fiber, 9/125 µm "
5,V-RACK rack - 4U,Kendall Howard,1916-2-100-4,N/A,1,,"4U rack enclosure, 19-inch equipment mounting"
,Security Set 2,,,,,,
1,Room Alert 3E Monitor,AVTECH,RA3E-ES0-BAS,N/A,1,,"Ethernet environmental monitor, remote monitoring."
2,APC Smart-UPS,APC,SMT2200RM2UC,N/A,1,,"Line-interactive UPS, LCD display"
2,FastEthernetPoE+module,MOXA,IM-6700A-8PoE,N/A,4,,"Fast Ethernet interface module, 10/100 Mbps ports"
2,UPS Network Management Card 3 with Environmental Monitoring,APC,AP9641,N/A,1,,"Remote UPS monitoring via SNMP/HTTPS, IPv4/IPv6"
3,24+4G-port Gigabit modular managed PoE+ Ethernet switch,MOXA,IKS-6728A-8PoE-4GTXSFP-HV-T,N/A,2,,"24 Gigabit PoE+ ports, 4 Gigabit/SFP uplinks"
3,48-Port 2U Patch Panel,Tripp Lite,N252-048,N/A,1,,"48 RJ45 ports, 2U rack mount, Cat5e/Cat6 rated"
3,Data Surge Protector,Transtector,DPR-F140,N/A,20,,"Ethernet surge protection, RJ45 interfaces"
3,ExtremeSwitching™ X460-G2 Series Switch,Extreme Networks,X460-G2-48P-10GE-4-BASE,N/A,1,,Layer 3 managed switch
3,Tamper Switch,GRI,TSC-20,N/A,1,,Security enclosure tamper switch
3,Tripp Lite series SmartRack 2U Low-Profile Vertical-Mount Switch,Tripp Lite,SRVM2U,N/A,1,,2U vertical rack mount switch mounting bracket
4,48V AC/DC Converter,Mean Well,SDR-480-48,N/A,1,,"480W output, 48VDC output, 120/240VAC input"
4,Cat5e TRD877HF Ethernet Cable,L-Com,TRD877HF-5,N/A,25-49,,"24 AWG stranded conductors, 100 MHz bandwidth"
4,Data Surge Protector Rack Mount Chassis,Transtector,1000-1206,N/A,4,,19-inch rack mount
4,EKI-9508G-MPW Ethernet Switch,AVTECH,EKI-9508G-MPW-B,N/A,3,,"8-port managed Gigabit industrial Ethernet switch, DIN rail mount"
4,MULTIMODE PATCH PANEL,CORNING,CCH-01U,N/A,1,,1U fiber patch panel
4,SFP+ transceiver module - 10 GigE,Extreme Networks,10302,N/A,5,,"10 Gbps Ethernet, 850 nm (SR) or 1310 nm (LR)"
5,CAT6A / CAT 7 Ethernet Patch Cable Network Internet Cord RJ45 ,JAVEX,CAT6A-7FT,N/A,4,,"Supports 10 Gigabit Ethernet, 500+ MHz bandwidth, 7 ft length."
5,DIN RAIL 35MMX7.5MM SLOTTED 2M,Phoenix Contact,801733,N/A,36,,"TS35 DIN rail, 35 mm width × 7.5 mm height, 2 meter length"
5,FIBER CASSETTE,Corning,CCH-CS12-AE-P00RE,N/A,1,,MPO/MTP to LC breakout
5,LC TO LC SINGLE MODE FIBER PATCH CABLE,FS,40192,N/A,15,,OS2 9/125 µm fiber
5,ST TO LC SINGLE MODE FIBER PATCH CABLE,Proline,PRO-ST-LC-6M9SMF,N/A,1,,"OS2 single-mode fiber, 9/125 µm "
5,TERMINAL BLOCK END CAPS,Altech,CA702,N/A,6,,End barrier/end cover for DIN rail terminal blocks
5,TERMINAL BLOCK ISOLATION PARTITION,Altech,PP2.5/4UN,N/A,3,,Isolation separator for terminal blocks
5,TERMINAL BLOCKS (2.5mm),Altech,CTS2.5U-N,N/A,6,,"2.5 mm² conductor capacity, DIN 35 mm rail compatible"
6,CABLE MANAGEMENT TRAY,Panduit,G1X3LG6,N/A,1,,"Horizontal cable routing tray, organizes copper/fiber cabling"
6,Horizontal Cable Organizer 1U (AR8425A),APC,AR8425A,N/A,1,,1U horizontal cable manager
6,"N4X Wallmt, Hinged w/handle - 36 x 36 x 12 - 304 SS",Hammond,HW363612SSHK,N/A,1,,NEMA 4X stainless steel enclosure; 36×36×12 inch size
6,"Offline, UPS, DIN Rail Mount, 850VA, 120V, 8A, SDU AC-B Series",allied,SolaHD SDU850B,N/A,1,,"850VA / 510W capacity, 120VAC input/output, 8A output"
6,Panduit BR1B 1U Brush Seal Blanking Panel Kit,Panduit,BR1B,N/A,1,,1U rack blanking panel with brush seal
6,Panduit WMPF1E-KIT Horizontal Cable Management Cover Kit,Panduit,WMPF1E-KIT,N/A,1,,1U horizontal cable manager with cover
6,Panel 33 x 33 - Fits Encl. 36 x 36 - Steel/Wht,Hammond,18P3333,N/A,1,,Internal mounting panel for Hammond enclosures
6,RJ-45 RJ45 Modular Plug Connector 25 Pack 8P8C,NAC,RJ-45,N/A,5,,"8P8C RJ45 modular plugs, compatible with Cat5e/Cat6/Cat6A cable"
,Security Set 3,,,,,,
1,Lenel 2220,Lenel,LNL-X2220,N/A,4,,Communicates with Lenel access control panels
1,Lenel 3300,Lenel,LNL-X3300,N/A,1,,Supports up to 16 reader interfaces
2,Door Hardware Power Supply,Altronix,AL600ULXB,N/A,1,,"Regulated 12VDC/24VDC power supply, 6A output capacity"
2,Lenel Power Supply,Altronix,AL1024ULXB,N/A,1,,"12VDC or 24VDC selectable output, 10A power capacity"
3,12V 14Ah General Purpose VRLA Battery,Power Sonic,PS12140,N/A,4,,"12V nominal voltage, 14Ah capacity"
3,48V AC/DC Converter,Mean Well,SDR-480-48,N/A,36,,"480W output, 48VDC output, 120/240VAC input"
3,"Access Power Controller, 8 Fused Relay Outputs",Altronix,ACM8I,N/A,1,,"8 relay outputs, 12/24VDC input/output compatibility"
3,Data Surge Protector,Transtector,DPR-F140,N/A,1,,"Ethernet surge protection, RJ45 interfaces"
3,Power Distribution Module,Altronix,PD4A,N/A,1,,"Power distribution board, supports 12/24VDC applications."
3,Tamper Switch,GRI,TSC-20,N/A,1,,Security enclosure tamper switch
4,30x24x8 N4X Enclosure,Hammond,HW30248SSHK,N/A,1,,"NEMA 4X stainless steel wall-mount enclosure, 30×24×8 inch dimensions"
4,DIN RAIL 35MMX7.5MM SLOTTED 2M,Phoenix Contact,801733,N/A,1,,"TS35 DIN rail, 35 mm width × 7.5 mm height, 2 meter length"
4,Panel 27 x 21 - Fits Encl. 30 x 24 - Steel/Wht,Hammond,18P2721,N/A,1,,Internal mounting panel designed for Hammond 30×24 enclosure
5,DIN Rail Distribution Block (PTFIX 6X2.5 BK),Phoenix Contact,"3273402 (PTFIX 6X2,5 BK)",N/A,12,,"P6 connection points, supports 2.5 mm² conductors "
5,DIN Rail End Clamp (CLIPFIX 35-5),Phoenix Contact,3022276 (CLIPFIX 35-5),N/A,8,,DIN rail mounting end clamp; TS35 compatible
5,DIN Rail End Clamp (Standard CLIPFIX 35),Phoenix Contact,3022218 (CLIPFIX 35),N/A,8,,Secures terminal block assemblies on 35 mm DIN rail
5,Fuse Terminal Block (UK 5-HESI),Phoenix Contact,3004100 (UK 5-HESI),N/A,8,,5 mm² conductor capacity
5,TERMINAL BLOCK END CAPS,Altech,CA702,N/A,8,,End barrier/end cover for DIN rail terminal blocks
5,TERMINAL BLOCK ISOLATION PARTITION,Altech,PP2.5/4UN,N/A,5,,Isolation separator for terminal blocks
5,TERMINAL BLOCKS (2.5mm),Altech,CTS2.5U-N,N/A,12,,"2.5 mm² conductor capacity, DIN 35 mm rail compatible"
,Security Set 4,,,,,,
1,Lenel 2220,Lenel,LNL-X2220,N/A,1,,Communicates with Lenel access control panels
1,Lenel 3300,Lenel,LNL-X3300,N/A,1,,Supports up to 16 reader interfaces
2,Door Hardware Power Supply,Altronix,AL600ULXB,N/A,1,,"Regulated 12VDC/24VDC power supply, 6A output capacity"
2,FastEthernetPoE+module,MOXA,IM-6700A-8PoE,N/A,2,,"Fast Ethernet interface module, 10/100 Mbps ports"
2,Lenel Power Supply,Altronix,AL1024ULXB,N/A,1,,"12VDC or 24VDC selectable output, 10A power capacity"
3,12V 14Ah General Purpose VRLA Battery,Power Sonic,PS12140,N/A,4,,"12V nominal voltage, 14Ah capacity"
3,24+4G-port Gigabit modular managed PoE+ Ethernet switch,MOXA,IKS-6728A-8PoE-4GTXSFP-HV-T,N/A,1,,"24 Gigabit PoE+ ports, 4 Gigabit/SFP uplinks"
3,48V AC/DC Converter,Mean Well,SDR-480-48,N/A,1,,"480W output, 48VDC output, 120/240VAC input"
3,"Access Power Controller, 8 Fused Relay Outputs",Altronix,ACM8I,N/A,1,,"8 relay outputs, 12/24VDC input/output compatibility"
3,Data Surge Protector,Transtector,DPR-F140,N/A,1,,"Ethernet surge protection, RJ45 interfaces"
3,Power Distribution Module,Altronix,PD4A,N/A,1,,"Power distribution board, supports 12/24VDC applications."
3,Tamper Switch,GRI,TSC-20,N/A,36,,Security enclosure tamper switch
4,30x24x8 N4X Enclosure,Hammond,HW30248SSHK,N/A,1,,"NEMA 4X stainless steel wall-mount enclosure, 30×24×8 inch dimensions"
4,Convenience Outlet,Phoenix Contact,5600461,N/A,5,,DIN rail/panel-mounted convenience receptacle
4,DIN RAIL 35MMX7.5MM SLOTTED 2M,Phoenix Contact,801733,N/A,8,,"TS35 DIN rail, 35 mm width × 7.5 mm height, 2 meter length"
4,EACS Composite Cable,Belden,558ANH,N/A,1,,Electronic access control/security composite cable
4,Multi-Conductor LSZH Control Cables,Champlain Cable,15-08559,N/A,25-49,,Low-smoke zero-halogen control cable
